Open,High,Low,Close,Volume,Dividends,Stock Splits
175.3252527852027,177.07473842454561,173.78332608108835,176.54100036621094,51449600,0.0,0.0
178.003859262239,178.49806733287568,176.48170504077262,178.1027069091797,43820700,0.0,0.0
177.61837000977968,182.75813070921157,177.4206898063463,181.98716735839844,53003900,0.0,0.0
182.7976884731864,185.67398314097,182.6000082560471,185.47628784179688,60813900,0.0,0.0
185.6641048225717,186.92927641629686,185.3082743692093,185.69375610351562,60794500,0.0,0.0
187.29497110047913,187.7199827815663,186.09898099052413,187.26531982421875,45766500,0.0,0.0
186.09898389331408,187.77928826308653,185.4367469097816,187.50253295898438,45280000,0.0,0.0
186.21757793807612,186.66237722656214,179.36786194540127,180.7911834716797,81755800,0.0,0.0
173.15075355684382,176.14566870650594,171.5297514902668,175.50318908691406,112488800,0.0,0.0
176.2840260730559,178.15213198996554,175.7305003611282,176.11598205566406,65551300,0.0,0.0
177.9841155245434,178.21144703159865,175.2857283917044,177.28233337402344,58953100,0.0,0.0
177.4108010563609,178.04338672084478,172.79489994360574,174.25775146484375,90370200,0.0,0.0
174.46531572894506,175.24617287306006,171.96462426919445,172.1919708251953,84267900,0.0,0.0
171.98438956640607,174.06006926639952,171.56925664281374,173.70423889160156,60895800,0.0,0.0
174.43570018321154,174.45547273170345,171.80652435113169,172.98272705078125,109259500,0.0,0.0
174.43570157296918,177.30211784571853,174.12929493806257,175.908447265625,67257600,0.0,0.0
175.4636488877364,177.54920768301113,175.07816717117066,176.99569702148438,51826900,0.0,0.0
177.18345571133617,177.61836118650515,173.36816915467014,173.45713806152344,58436200,0.0,0.0
172.52805046683002,174.25777881422758,171.84604087673065,171.91522216796875,63149100,0.0,0.0
172.64665367280514,175.02874030453424,172.03384046276338,172.7652587890625,56725400,0.0,0.0
172.18207147695253,174.91998813589507,172.13264765845275,174.04029846191406,46172700,0.0,0.0
172.79490338049743,173.17049122867175,169.67150500159482,169.96803283691406,64588900,0.0,0.0
170.62039864934732,171.03553164114703,167.0917606780329,168.4557647705078,66921800,0.0,0.0
167.3783703364052,170.03721192481018,165.678293523344,168.71273803710938,56294400,0.0,0.0
170.02734498983367,171.06518493104676,168.36679806748614,169.2267303466797,51861100,0.0,0.0
169.2366280911879,172.2809518891447,168.9499789385755,171.73731994628906,52164500,0.0,0.0
170.26456118455488,171.61870157072957,168.84125459232132,170.40293884277344,49594600,0.0,0.0
169.10810929534875,172.19197782627828,168.98950418793981,171.64834594726562,53020300,0.0,0.0
171.77681389678688,173.4175881136583,170.6796715086417,172.88385009765625,48527900,0.0,0.0
171.78671747657816,175.9281832590251,171.17388925206592,175.43397521972656,57266700,0.0,0.0
174.761825539281,176.97588274537105,173.76353083741722,176.9165802001953,42390800,0.0,0.0
176.03692856454262,177.63815795783916,175.8886570875863,176.3235626220703,43698000,0.0,0.0
176.13575227199846,177.76664794425923,175.54271164011269,177.71722412109375,47551100,0.0,0.0
177.98411345020415,180.2278073787141,176.96603088257305,178.61669921875,56743100,0.0,0.0
179.31843486264313,179.82252160984507,176.07643148158712,176.77821350097656,51427100,0.0,0.0
174.70256857703768,177.00558020178707,174.46534325240765,176.64974975585938,52517000,0.0,0.0
174.60370757241088,176.35320838797153,172.77514673671925,175.09791564941406,57549400,0.0,0.0
173.54610256783715,175.52293478970745,173.08154578913502,173.80308532714844,54764400,0.0,0.0
174.0007735918687,175.77992569036093,173.16062890788183,173.42750549316406,59302900,0.0,0.0
173.2792242572037,173.38795063159753,170.64015507731645,170.87738037109375,64244000,0.0,0.0
168.93021596381925,171.99429712738208,167.96155723103598,170.99600219726562,55980100,0.0,0.0
171.045411263789,171.65822442721412,169.4639394511676,171.43089294433594,43816600,0.0,0.0
169.88897487497013,171.0552987076063,168.67321213575732,169.11801147460938,57157000,0.0,0.0
168.39644027726376,169.39475015606334,163.75088778515044,164.95675659179688,70625300,0.0,0.0
164.9765244498122,167.00278034322866,164.8974493569631,166.27134704589844,58499100,0.0,0.0
167.0620597017376,169.1871478546987,166.91378826746583,168.3173370361328,51131000,0.0,0.0
167.38826013413149,168.92029290970513,165.9550448299652,168.79180908203125,44846000,0.0,0.0
169.01916053768616,172.2117404582064,168.14934950515965,171.9547576904297,56934900,0.0,0.0
173.4868054165182,175.7206204672586,173.42750286114074,175.5130615234375,77334800,0.0,0.0
172.2216424329047,174.77175801380423,171.34195262679097,174.6037139892578,79829200,0.0,0.0
174.33683183407777,177.35148879200258,174.16880291146146,177.15380859375,63841300,0.0,0.0
177.1043884447924,180.32663456302825,176.89682951103612,179.7138214111328,70530000,0.0,0.0
180.23770048559436,181.32494925868284,179.48649451949703,180.7714385986328,49340300,0.0,0.0
180.84061367506283,181.98716487212562,179.7039261272927,180.29698181152344,53763500,0.0,0.0
182.07848170612579,184.65175539538808,181.6430032262288,184.48348999023438,66133400,0.24,0.0
183.9094650326421,184.11729742228064,182.31601793716675,182.8999481201172,43627500,0.0,0.0
185.7701387274506,186.17592689168708,184.38453902262373,185.5128173828125,60108400,0.0,0.0
185.91860660743325,187.55163591900057,185.84931907084464,186.0769500732422,53790500,0.0,0.0
187.62090049490251,188.99660829200764,186.7103463929358,187.75946044921875,54412900,0.0,0.0
188.29390964052354,188.42257785422723,186.63119011836693,187.7396697998047,50922700,0.0,0.0
187.93760923589429,189.93684445013852,187.92771748948175,189.4815673828125,46505100,0.0,0.0
189.44198846283598,189.55085808280586,187.78916067013205,188.67990112304688,38134500,0.0,0.0
189.52114419013287,190.94632571731435,188.8679265514864,189.34298706054688,39617700,0.0,0.0
188.9075250877743,188.93721542830764,187.30418629136327,188.01678466796875,24048300,0.0,0.0
187.9672912540552,188.7095799535061,186.95777439426936,187.838623046875,40552600,0.0,0.0
187.82873180101734,189.1153685705385,187.45263402635211,188.44235229492188,38415400,0.0,0.0
188.93721085337887,190.11497800569174,187.02706184977393,187.42294311523438,43014200,0.0,0.0
187.888109148078,188.36318478193425,186.2550800746654,187.99697875976562,48794400,0.0,0.0
188.37308016671426,189.59042941044567,187.2843840288066,189.2737274169922,45704800,0.0,0.0
188.0266937107449,188.0959812462982,185.5227074160739,187.4823455810547,43389500,0.0,0.0
188.25433276481266,192.40123993854135,188.22462732075607,191.4313201904297,66628400,0.0,0.0
192.45072587794942,192.75753614335477,190.1347886146608,190.34263610839844,41089700,0.0,0.0
191.63914867608756,192.99505783958267,191.5995514892092,192.27256774902344,47477700,0.0,0.0
192.2032849129047,193.97488907234165,191.67873543823174,193.69776916503906,53406400,0.0,0.0
191.12449893522992,191.5005967167582,189.4518726145205,191.1937713623047,60943700,0.0,0.0
191.09480795445688,192.71794533501543,189.748790485074,192.7080535888672,52696900,0.0,0.0
193.08413511536142,195.96421892707963,192.8466123940007,195.9246368408203,70404200,0.0,0.0
195.98403383047588,197.567574144968,194.14315707722483,196.07310485839844,66831600,0.0,0.0
195.4990533238864,196.36010340669733,194.97450383643803,195.5386505126953,128538400,0.0,0.0
194.07387143964067,194.6083278162061,192.39135323196817,193.8759307861328,55751900,0.0,0.0
194.1431515248431,194.92502236186388,193.87592334681435,194.91513061523438,40714100,0.0,0.0
194.87555255598716,195.64753172216422,192.82684326171875,192.82684326171875,52242800,0.0,0.0
194.08374258350807,195.05366217859583,191.5104692555924,192.67832946777344,46482500,0.0,0.0
193.17320815773428,193.40085423729087,190.98593919883143,191.60946655273438,37149600,0.0,0.0
191.61934905102697,191.89646895007564,190.8473700319769,191.0651092529297,28919300,0.0,0.0
190.5108903848591,191.5105004803971,189.12527563548673,191.16409301757812,48087700,0.0,0.0
192.14391575114956,192.65857351066379,191.18388776405135,191.5896759033203,34049900,0.0,0.0
191.9063700376295,192.40122918172025,189.758683164504,190.5504608154297,42672100,0.0,0.0
